scene,seed,role,fastgs_gaussians,hab_gaussians,fixed_target,target_match,reduction_vs_same_seed_percent,reduction_vs_seed0_target_percent,fastgs_psnr,hab_psnr,delta_psnr,fastgs_ssim,hab_ssim,delta_ssim,fastgs_lpips,hab_lpips,delta_lpips,fastgs_wall_s,hab_wall_s,wall_delta_percent,fastgs_screening_fps,hab_screening_fps,screening_fps_delta_percent,fastgs_run_id,hab_run_id,fastgs_collector_sha256,hab_collector_sha256
train,0,confirmation,230899,189337,189337,True,18.000077956162652,18.000077956162652,22.50503494865016,22.426677728954115,-0.07835721969604492,0.8080520488713917,0.8042733873191633,-0.0037786615522283906,0.2398647007189299,0.24698947291625173,0.007124772197321827,268.19,247.41,-7.748238189343382,325.7101635010466,360.96709383486944,10.82463315078883,formal-v4-train-fastgs-s0-r1,formal-v4-train-hab-main-s0-r1,c134b912f4135f7e90977de2de9ce73bfd1beb280b477311aae1c1bb8ff1b613,3dbbc925f03a597551fbe820aa6bfc1cd97f1160a461d0c9d060db17a1decb21
train,1,confirmation,236237,189337,189337,True,19.85294428899791,18.000077956162652,22.597724763970625,22.36890476628354,-0.22881999768708638,0.8094429326684851,0.8043760437714426,-0.005066888897042543,0.23765687566054494,0.24707070189087013,0.00941382623032519,258.44,258.02,-0.16251354279523955,329.1473777520372,363.18260908842063,10.340423055724246,formal-v4-train-fastgs-s1-r1,formal-v4-train-hab_main-s1-r1,a8f841070baca95c064141f4a8c2c93a49c2e424b13550ae17b75dd1129e24c6,b506a03d0a5ff8d2a258fd7ee6f3e0c98026d070de705abaf3d6919ef4202948
train,2,confirmation,229505,189337,189337,True,17.502015206640376,18.000077956162652,22.354386179070723,22.263775373760023,-0.09061080531069976,0.8057192438527158,0.8031867240604601,-0.002532519792255661,0.24154889701228394,0.24789345891852127,0.006344561906237334,265.39,233.24,-12.114246957308106,311.37793168960263,317.5610121596333,1.9857156981164303,formal-v4-train-fastgs-s2-r1,formal-v4-train-hab_main-s2-r1,5df95082585246487a544b297ba8223cabeacd30bda02dce71c077bfa6764dc4,146d57d5d9fb5094fe3c901b9a0aae64614f1cb9934fef4913825b89a987dc01
drjohnson,0,confirmation,253655,207997,207997,True,18.00003942362658,18.00003942362658,29.430542165582832,29.377753460046016,-0.05278870553681614,0.8999663844253077,0.8996079257040313,-0.0003584587212764889,0.27212306676488934,0.2740917354822159,0.0019686687173265383,283.39,269.15,-5.024877377465686,384.4103211234266,387.8256315176644,0.8884543953598056,formal-v4-drjohnson-fastgs-s0-r1,formal-v4-drjohnson-hab-main-s0-r1,423547bff6aa07f922810171b112ebd03db2225404581966b2f802d1cf1239c7,0489e2f79cbe32e814187300971f233c3d2042032fd46a5473f64eddecac666e
drjohnson,1,confirmation,254261,207997,207997,True,18.19547630191024,18.00003942362658,29.450744224317145,29.35253282026811,-0.09821140404903517,0.90147695758126,0.9002514680226644,-0.0012254895585955827,0.27064701598702057,0.2729653508374185,0.0023183348503979517,283.89,267.94,-5.618373313607384,367.28591464563743,377.44606985706014,2.7662795675748697,formal-v4-drjohnson-fastgs-s1-r1,formal-v4-drjohnson-hab_main-s1-r1,5ba29f73aa081e124cffb6d878d8c0c1b233df67600b20394d4eaa86c0e4e9fe,51e6fe89ba44349e43aa1c87edcb698d4aeadb2f5158728c303c6aaa4e55b4be
drjohnson,2,confirmation,260563,207997,207997,True,20.17400782152493,18.00003942362658,29.473845799763996,29.525586561723188,0.05174076195919142,0.900975839658217,0.9004261872985146,-0.0005496523597023906,0.27088216805096826,0.27455823665315454,0.0036760686021862776,297.15,270.41,-8.998822143698447,361.9742591396095,364.7457583577606,0.7656619630188155,formal-v4-drjohnson-fastgs-s2-r1,formal-v4-drjohnson-hab_main-s2-r1,4d66dae8e339fe5d8f50d2bf158a6f237549370aaf63a4a47691f65dc46f5ee3,aa00a86979099554905a6b139292e09043170d9f47a560c90d439053813ba5aa
garden,0,confirmation,740149,606922,606922,True,18.000024319427578,18.000024319427578,27.017581780751545,27.155282735824585,0.13770095507303992,0.8357012023528417,0.8316575636466345,-0.004043638706207275,0.17452239928146204,0.18688127771019936,0.012358878428737313,534.43,484.07,-9.423123701887981,252.8099510034838,286.2837394441833,13.24069258659768,formal-v4-garden-fastgs-s0-r1,formal-v4-garden-hab-main-s0-r1,9d8e9b4621986257cf538a5949da3f9abd928b1349304f3937744459436d047a,b58aa085ab31ce647f74e6319bed89c14691bc969798fd427c02113a4269f203
garden,1,confirmation,771442,606922,606922,True,21.326295431153607,18.000024319427578,27.222021738688152,27.124141454696655,-0.09788028399149695,0.8368752002716064,0.8305468410253525,-0.006328359246253967,0.17335337027907372,0.18949038783709207,0.016137017558018357,535.57,507.73,-5.198200048546409,255.31013890012238,301.52435476323086,18.101206658771794,formal-v4-garden-fastgs-s1-r1,formal-v4-garden-hab_main-s1-r1,8cb9fde87f5258e95048b7812f9ed63517b3b8d7ffa531e3436f5d98e742041e,d844a945cb41c2b478512bb9178c3c49cd3978123500e2422be7af7dc4154046
garden,2,confirmation,737241,606922,606922,True,17.676580656800155,18.000024319427578,27.16895627975464,27.165709733963013,-0.0032465457916259766,0.8362100422382355,0.8318231577674547,-0.0043868844707807275,0.17407562335332236,0.18609029985964298,0.012014676506320626,531.21,494.04,-6.997232732817538,263.7676234360523,265.5804689245028,0.687288858592594,formal-v4-garden-fastgs-s2-r1,formal-v4-garden-hab_main-s2-r1,34eb292fb9e1c70d3e7071f647e12fdf93fac36a1da17a0063f049c9b5c26998,02d21af5914d5f9415f5239ba6ecc7f88aef16acc43e5f18ebba4a4c87f9c92c
room,0,confirmation,207962,170528,170528,True,18.000403919946915,18.000403919946915,31.97756136380709,31.773445080488155,-0.2041162833189354,0.9203568895657858,0.9170977075894674,-0.0032591819763183594,0.21666504098818853,0.2234093455167917,0.006744304528603168,359.84,346.19,-3.7933526011560637,354.31355694090394,356.6462581491197,0.6583719878956895,formal-v4-room-fastgs-s0-r1,formal-v4-room-hab-main-s0-r1,5e4a7e248182a69675100a588576eee65a37c635d5adc46c69930664266ef632,caa3bf14406c7c91882f372a2d1dffc933cc0756437edbf5026228481a930622
